user_id,age,gender,income,occupation,city,interests,budget,has_car,purchase_intent
user_0001,40,男,37068,企业管理者,上海,"高尔夫,健身,美食,阅读",23,是,无
user_0002,25,女,13410,企业管理者,上海,"美食,科技",12,是,无
user_0003,37,男,34487,教师,南京,"阅读,音乐,旅游,摄影,高尔夫",32,否,首购
user_0004,40,女,19914,销售,天津,"摄影,阅读,音乐",16,是,无
user_0005,34,男,17810,教师,成都,"摄影,旅游,音乐,美食",16,是,无
user_0006,40,女,25028,医生,北京,"旅游,音乐,阅读,高尔夫",13,是,无
user_0007,25,男,8714,自由职业,深圳,"旅游,科技,音乐,阅读",7,否,观望
user_0008,31,男,21759,金融从业者,上海,"摄影,阅读,旅游,音乐,高尔夫",14,否,观望
user_0009,35,女,21081,企业管理者,上海,"阅读,科技,高尔夫",18,是,无
user_0010,27,女,9570,金融从业者,深圳,"美食,科技,旅游",4,是,无
user_0011,38,女,18130,金融从业者,深圳,"健身,音乐,科技",10,是,无
user_0012,31,男,19166,互联网从业者,西安,"旅游,阅读,摄影,音乐",10,是,无
user_0013,50,男,43745,销售,杭州,"音乐,旅游,摄影,高尔夫",25,是,换车
user_0014,43,男,44235,医生,广州,"健身,科技,音乐,美食,高尔夫",28,否,观望
user_0015,39,男,22351,医生,武汉,"音乐,阅读,高尔夫",11,是,无
user_0016,43,男,26177,工程师,武汉,"摄影,旅游,高尔夫",24,否,观望
user_0017,43,女,33845,金融从业者,重庆,"音乐,科技,阅读",27,否,观望
user_0018,50,男,43255,企业管理者,上海,"科技,健身",37,否,首购
user_0019,43,男,19566,互联网从业者,广州,"健身,摄影,音乐",8,是,换车
user_0020,35,女,24290,金融从业者,上海,"音乐,阅读,旅游,健身,高尔夫",13,是,无
user_0021,30,女,22218,工程师,广州,"美食,摄影,高尔夫",12,是,无
user_0022,26,男,14796,工程师,成都,"旅游,美食",10,是,换车
user_0023,30,女,9657,企业管理者,西安,"旅游,音乐",8,是,无
user_0024,35,女,25356,销售,天津,"摄影,美食,高尔夫",20,是,无
user_0025,39,女,17290,金融从业者,重庆,"摄影,高尔夫,健身,音乐",15,是,增购
user_0026,34,女,13297,销售,深圳,"旅游,科技",12,否,观望
user_0027,32,女,22092,金融从业者,重庆,"旅游,美食,阅读,高尔夫",11,是,无
user_0028,35,男,17316,互联网从业者,广州,"阅读,科技,健身",16,否,观望
user_0029,40,男,18383,企业管理者,北京,"美食,高尔夫,健身",17,否,观望
user_0030,25,男,11707,自由职业,北京,"健身,美食,旅游,阅读",10,是,无
user_0031,32,女,15811,金融从业者,深圳,"阅读,美食",5,是,无
user_0032,38,女,30651,工程师,重庆,"高尔夫,阅读,摄影,健身",14,否,观望
user_0033,26,男,8044,金融从业者,北京,"高尔夫,美食,科技",6,是,无
user_0034,29,男,10381,企业管理者,南京,"科技,摄影,健身,音乐",9,否,观望
user_0035,43,男,33754,金融从业者,北京,"健身,高尔夫,旅游",26,否,观望
user_0036,40,男,33806,工程师,重庆,"美食,科技,摄影,高尔夫",31,否,观望
user_0037,47,女,38508,企业管理者,苏州,"音乐,摄影",31,是,无
user_0038,38,男,16703,企业管理者,广州,"高尔夫,音乐,美食,阅读",14,是,无
user_0039,40,女,36780,工程师,重庆,"摄影,阅读,高尔夫,美食",16,是,无
user_0040,30,女,17616,互联网从业者,北京,"高尔夫,摄影",16,是,无
user_0041,32,男,24721,金融从业者,上海,"美食,摄影,旅游",23,是,无
user_0042,37,女,34580,医生,上海,"旅游,健身,高尔夫",32,是,无
user_0043,50,男,47418,医生,北京,"音乐,阅读,摄影,高尔夫",38,否,观望
user_0044,44,女,35499,医生,成都,"旅游,阅读,健身,高尔夫",14,是,无
user_0045,32,女,17602,教师,深圳,"旅游,美食,高尔夫,音乐",15,否,观望
user_0046,30,女,14755,工程师,武汉,"音乐,健身",11,否,首购
user_0047,37,男,30219,工程师,南京,"美食,高尔夫",14,是,无
user_0048,39,女,25565,自由职业,北京,"旅游,音乐,健身,高尔夫",10,否,观望
user_0049,30,女,15015,互联网从业者,重庆,"摄影,音乐",10,是,无
user_0050,28,女,8110,销售,天津,"美食,科技,高尔夫",6,是,无
user_0051,38,女,31348,金融从业者,南京,"旅游,音乐,摄影",24,否,观望
user_0052,47,男,30971,互联网从业者,广州,"健身,阅读,科技,高尔夫",23,是,无
user_0053,44,男,43344,自由职业,上海,"音乐,科技,高尔夫,摄影",37,是,无
user_0054,26,男,10334,自由职业,天津,"高尔夫,科技",6,是,无
user_0055,41,女,43408,金融从业者,南京,"美食,旅游,阅读",33,否,观望
user_0056,42,男,22704,自由职业,杭州,"阅读,高尔夫",14,是,无
user_0057,40,女,19338,工程师,成都,"健身,摄影",14,否,观望
user_0058,36,男,34037,企业管理者,成都,"旅游,阅读,高尔夫,健身",27,是,无
user_0059,35,女,21397,企业管理者,天津,"阅读,美食,健身,摄影",10,否,首购
user_0060,38,男,30897,互联网从业者,成都,"健身,摄影,旅游,美食,高尔夫",28,否,观望
user_0061,35,男,22561,互联网从业者,上海,"音乐,高尔夫,阅读,科技",17,否,观望
user_0062,46,男,31085,金融从业者,南京,"音乐,阅读",28,否,首购
user_0063,29,男,10345,互联网从业者,深圳,"音乐,高尔夫,健身",6,是,无
user_0064,45,男,30295,互联网从业者,重庆,"音乐,摄影,高尔夫",20,是,无
user_0065,29,女,12349,金融从业者,成都,"高尔夫,阅读,音乐,科技",7,是,换车
user_0066,36,女,23104,销售,北京,"科技,高尔夫,音乐,摄影",8,是,无
user_0067,35,女,21347,金融从业者,成都,"科技,健身,美食,高尔夫",18,否,观望
user_0068,37,女,32847,销售,上海,"科技,摄影,音乐,美食,高尔夫",13,否,首购
user_0069,42,女,23639,企业管理者,重庆,"健身,科技",9,是,无
user_0070,45,男,33885,金融从业者,北京,"科技,音乐,美食,高尔夫",17,是,无
user_0071,31,男,22593,互联网从业者,北京,"旅游,音乐,摄影,高尔夫",19,否,首购
user_0072,36,女,28308,教师,深圳,"旅游,美食,音乐,高尔夫",14,否,观望
user_0073,28,男,11193,互联网从业者,杭州,"高尔夫,健身,美食",6,否,首购
user_0074,50,女,31615,互联网从业者,上海,"旅游,音乐,美食,高尔夫",21,是,无
