user_id,age,gender,education,income_level,city_tier,occupation,has_house,has_car,marital_status,has_children
user_001,29,男,专科,很高,二线,企业高管,True,False,未婚,False
user_002,52,男,博士,高,一线,工程师,False,False,离异,True
user_003,49,男,博士,低,二线,工程师,True,False,未婚,True
user_004,31,男,硕士,很高,新一线,企业高管,False,False,未婚,False
user_005,49,男,专科,中等,二线,企业高管,True,False,已婚,False
user_006,41,女,博士,中等,一线,工程师,True,False,未婚,True
user_007,30,女,硕士,低,一线,产品经理,False,False,未婚,True
user_008,37,女,本科,很高,新一线,产品经理,True,False,未婚,True
user_009,43,男,专科,很高,新一线,医生,False,True,未婚,True
user_010,44,男,博士,高,一线,律师,False,False,未婚,False
user_011,28,女,博士,中等,一线,工程师,True,False,未婚,True
user_012,52,女,博士,中等,新一线,医生,True,False,离异,False
user_013,41,男,硕士,低,新一线,教师,True,False,已婚,True
user_014,29,男,本科,很高,一线,工程师,True,False,离异,False
user_015,43,女,专科,高,二线,金融从业者,True,False,未婚,True
user_016,25,男,博士,很高,二线,教师,True,True,未婚,False
user_017,49,男,博士,很高,一线,教师,False,False,离异,True
user_018,50,女,专科,很高,二线,律师,True,False,已婚,False
user_019,47,女,本科,中等,一线,产品经理,False,False,离异,False
user_020,29,男,本科,低,新一线,产品经理,False,True,离异,True
user_021,32,女,本科,低,新一线,医生,True,False,离异,False
user_022,29,女,本科,很高,一线,教师,True,True,已婚,True
user_023,30,男,硕士,低,一线,工程师,True,False,已婚,True
user_024,45,男,硕士,中等,一线,教师,False,False,已婚,True
user_025,27,男,本科,中等,二线,金融从业者,False,True,未婚,False
user_026,32,男,硕士,很高,一线,教师,True,False,已婚,True
user_027,28,女,本科,中等,一线,产品经理,False,True,已婚,False
user_028,37,女,硕士,中等,二线,教师,True,False,离异,False
user_029,37,男,硕士,很高,新一线,金融从业者,True,True,离异,True
user_030,33,女,硕士,高,新一线,律师,False,False,离异,True
user_031,46,女,本科,很高,一线,企业高管,True,False,已婚,True
user_032,36,男,硕士,很高,二线,律师,True,True,离异,True
user_033,35,男,硕士,很高,新一线,产品经理,True,False,未婚,True
user_034,44,男,博士,中等,二线,律师,False,False,未婚,True
user_035,42,女,硕士,很高,一线,金融从业者,True,False,未婚,True
user_036,32,男,本科,高,新一线,金融从业者,False,False,未婚,True
user_037,40,女,博士,低,一线,工程师,False,True,未婚,False
user_038,35,男,专科,高,新一线,医生,False,False,离异,True
user_039,41,女,博士,高,一线,工程师,False,False,已婚,False
user_040,44,男,硕士,很高,新一线,产品经理,False,True,已婚,False
user_041,29,男,硕士,中等,新一线,金融从业者,False,True,离异,False
user_042,35,女,硕士,高,一线,教师,True,False,未婚,True
user_043,53,男,本科,低,一线,工程师,True,False,离异,False
user_044,27,女,本科,低,二线,金融从业者,False,False,已婚,True
user_045,26,男,博士,高,二线,医生,True,False,已婚,False
user_046,42,男,专科,高,新一线,教师,False,False,已婚,True
user_047,42,男,专科,高,一线,工程师,True,False,离异,True
user_048,45,女,本科,很高,二线,律师,False,False,已婚,False
user_049,47,男,硕士,低,一线,工程师,False,False,未婚,True
user_050,35,女,博士,很高,二线,律师,False,False,离异,True
user_051,27,女,专科,很高,新一线,医生,False,False,未婚,True
user_052,26,男,本科,低,一线,金融从业者,False,True,未婚,False
user_053,44,女,专科,中等,一线,律师,True,False,未婚,True
user_054,26,男,专科,高,一线,企业高管,False,False,已婚,True
user_055,36,女,硕士,很高,一线,产品经理,True,False,已婚,False
user_056,43,男,硕士,低,一线,教师,True,False,已婚,False
user_057,51,女,专科,很高,二线,企业高管,False,True,离异,True
user_058,42,女,本科,中等,二线,教师,False,False,离异,False
user_059,55,男,博士,高,二线,产品经理,False,False,已婚,True
user_060,54,女,本科,很高,二线,医生,True,False,已婚,True
user_061,52,男,本科,中等,一线,企业高管,True,True,已婚,True
user_062,44,女,博士,低,一线,企业高管,True,True,已婚,True
user_063,26,男,本科,高,二线,工程师,False,True,未婚,False
user_064,42,女,硕士,高,新一线,工程师,False,False,已婚,True
user_065,46,女,博士,中等,二线,医生,True,False,离异,False
user_066,47,男,本科,中等,一线,企业高管,True,False,未婚,True
user_067,52,女,专科,低,二线,产品经理,False,True,未婚,True
user_068,31,男,硕士,高,一线,教师,True,False,已婚,False
user_069,25,男,博士,很高,新一线,产品经理,False,False,未婚,True
user_070,47,女,硕士,低,二线,金融从业者,False,True,未婚,False
user_071,54,女,博士,中等,二线,教师,False,True,未婚,False
user_072,39,女,硕士,很高,新一线,教师,False,True,离异,False
user_073,36,女,本科,很高,一线,教师,False,True,未婚,False
user_074,46,女,专科,高,新一线,医生,False,True,离异,True
user_075,29,男,博士,低,一线,工程师,True,False,已婚,False
user_076,40,男,专科,低,二线,企业高管,True,False,已婚,False
user_077,33,女,博士,很高,一线,医生,True,True,已婚,True
user_078,48,男,本科,低,二线,教师,False,False,已婚,True
user_079,36,女,硕士,低,一线,工程师,False,False,离异,False
user_080,50,男,硕士,很高,二线,工程师,False,True,离异,False
user_081,47,女,博士,中等,二线,律师,False,False,未婚,True
user_082,54,女,本科,中等,一线,医生,True,True,离异,True
user_083,33,女,专科,低,二线,律师,False,True,未婚,False
user_084,41,男,博士,很高,新一线,产品经理,False,False,已婚,True
user_085,45,女,专科,低,新一线,教师,True,True,离异,False
user_086,25,男,专科,高,新一线,企业高管,False,False,离异,False
user_087,52,女,硕士,高,一线,医生,True,True,未婚,False
user_088,27,女,硕士,中等,一线,律师,False,False,已婚,True
user_089,55,女,博士,很高,新一线,医生,True,True,未婚,False
user_090,32,女,博士,高,一线,医生,True,True,未婚,True
user_091,48,男,本科,很高,一线,金融从业者,False,False,离异,False
user_092,30,男,专科,低,新一线,律师,False,False,已婚,False
user_093,55,女,博士,低,二线,企业高管,True,False,离异,False
user_094,46,男,专科,中等,新一线,金融从业者,False,False,离异,True
user_095,43,女,专科,中等,二线,医生,True,False,离异,True
user_096,32,男,本科,很高,二线,医生,True,True,已婚,True
user_097,55,女,专科,高,新一线,工程师,False,False,离异,True
user_098,26,女,专科,低,新一线,产品经理,False,False,未婚,False
user_099,31,男,本科,中等,二线,教师,False,False,已婚,True
user_100,37,男,硕士,高,新一线,金融从业者,False,True,离异,True
